"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Bamiyan";"40945";"";"1969-1983";"";"Mean Value";"%";"43.0";"";"54.0";"";"52.0";"";"52.0";"";"52.0";"";"46.0";"";"45.0";"";"45.0";"";"43.0";"";"44.0";"";"48.0";"";"52.0";"";"49.0";"";"48.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kabul";"40948";"";"1956-1983";"";"Mean Value";"%";"68.0";"";"70.0";"";"65.0";"";"61.0";"";"48.0";"";"36.0";"";"37.0";"";"38.0";"";"39.0";"";"42.0";"";"52.0";"";"63.0";"";"52.0";"";"51.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jalal Abad";"40954";"";"1964-1983";"";"Mean Value";"%";"61.0";"";"60.0";"";"62.0";"";"59.0";"";"47.0";"";"40.0";"";"52.0";"";"58.0";"";"56.0";"";"55.0";"";"58.0";"";"63.0";"";"56.0";"";"55.9";""
"AFGHANISTAN, ISLAMIC STATE OF";"Ghazni";"40968";"";"1958-1983";"";"Mean Value";"%";"68.0";"";"72.0";"";"64.0";"";"55.0";"";"43.0";"";"36.0";"";"43.0";"";"39.0";"";"35.0";"";"42.0";"";"52.0";"";"60.0";"";"51.0";"";"50.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Faiz abad";"40904";"";"1964-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"99.0";"";"98.0";"";"92.0";"";"98.0";"";"99.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Sheberghan";"40908";"";"1964-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"96.0";"";"83.0";"";"84.0";"";"93.0";"";"99.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Mazar-i-Sharif";"40911";"";"1959-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"89.0";"";"91.0";"";"68.0";"";"78.0";"";"99.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Kunduz";"40913";"";"1958-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"97.0";"";"97.0";"";"90.0";"";"98.0";"";"99.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Maimana";"40922";"";"1959-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"94.0";"";"98.0";"";"87.0";"";"99.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"North Salang";"40930";"";"1960-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Jabulsaraj";"40932";"";"1961-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"91.0";"";"95.0";"";"94.0";"";"99.0";"";"99.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Qalai naw";"40937";"";"1970-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"97.0";"";"92.0";"";"95.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Herat";"40938";"";"1958-1983";"";"Maximum Value";"%";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"94.0";"";"98.0";"";"87.0";"";"97.0";"";"100.0";"";"100.0";"";"100.0";"";"100.0";"";"-9999.9";"1"
"AFGHANISTAN, ISLAMIC STATE OF";"Gardiz";"40970";"";"1970-1983";"";"Mean Value";"%";"69.0";"";"72.0";"";"66.0";"";"58.0";"";"47.0";"";"39.0";"";"49.0";"";"51.0";"";"45.0";"";"45.0";"";"51.0";"";"60.0";"";"55.0";"";"54.3";""
