"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Maimana";"40922";"";"1959-1983";"";"Maximum Value";"deg C";"25.3";"";"27.5";"";"32.6";"";"35.3";"";"39.8";"";"42.5";"";"44.5";"";"40.5";"";"38.3";"";"35.1";"";"30.6";"";"27.8";"";"44.5";"";"35.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"North Salang";"40930";"";"1960-1983";"";"Maximum Value";"deg C";"4.0";"";"3.8";"";"9.5";"";"11.6";"";"15.5";"";"20.5";"";"22.1";"";"20.7";"";"18.0";"";"16.0";"";"10.2";"";"6.5";"";"22.1";"";"13.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jabulsaraj";"40932";"";"1961-1983";"";"Maximum Value";"deg C";"17.4";"";"19.4";"";"26.6";"";"29.7";"";"34.0";"";"38.4";"";"36.7";"";"36.3";"";"35.4";"";"30.4";"";"24.7";"";"18.5";"";"38.4";"";"29.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"Qalai naw";"40937";"";"1970-1983";"";"Maximum Value";"deg C";"23.2";"";"25.4";"";"32.7";"";"33.5";"";"39.1";"";"42.5";"";"42.8";"";"40.0";"";"37.7";"";"35.0";"";"30.5";"";"26.5";"";"42.8";"";"34.1";""
"AFGHANISTAN, ISLAMIC STATE OF";"Herat";"40938";"";"1958-1983";"";"Maximum Value";"deg C";"24.4";"";"27.6";"";"31.0";"";"37.8";"";"39.7";"";"44.6";"";"46.0";"";"42.7";"";"39.3";"";"37.0";"";"30.0";"";"26.5";"";"46.0";"";"35.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Gardiz";"40970";"";"1964-1983";"";"Mean Value";"deg C";"1.0";"";"2.3";"";"8.8";"";"16.8";"";"22.2";"";"27.8";"";"29.6";"";"29.0";"";"25.1";"";"18.6";"";"11.9";"";"5.7";"";"15.6";"";"16.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Khost";"40971";"";"1962-1982";"";"Mean Value";"deg C";"12.7";"";"13.8";"";"19.1";"";"25.1";"";"30.3";"";"35.4";"";"33.6";"";"32.3";"";"30.5";"";"26.4";"";"20.1";"";"14.8";"";"24.5";"";"24.5";""
"AFGHANISTAN, ISLAMIC STATE OF";"Farah";"40974";"";"1960-1983";"";"Mean Value";"deg C";"14.6";"";"17.1";"";"23.1";"";"29.5";"";"35.5";"";"41.0";"";"42.6";"";"40.8";"";"36.2";"";"29.9";"";"22.7";"";"17.2";"";"29.5";"";"29.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Trinkot";"40977";"";"1972-1983";"";"Mean Value";"deg C";"9.3";"";"11.1";"";"17.4";"";"26.0";"";"31.3";"";"36.8";"";"38.4";"";"37.4";"";"32.9";"";"26.5";"";"18.4";"";"12.8";"";"24.9";"";"24.9";""
"AFGHANISTAN, ISLAMIC STATE OF";"Zaranj";"40986";"";"1969-1983";"";"Mean Value";"deg C";"14.3";"";"18.7";"";"25.0";"";"32.6";"";"37.3";"";"42.8";"";"42.5";"";"41.3";"";"37.0";"";"31.2";"";"23.1";"";"17.7";"";"30.1";"";"30.3";""
